entry_id,user_id,date,meal_type,food_item,dining_hall,notes,calories,protein,carbs,fat,created_at
86cf0cc7-59fb-4065-80d0-dead0e0a5d36,3,2025-03-15,lunch,Apple,Tower,,95,0.5,25,0.3,2025-03-15 09:00:00
dc1dd3e4-d0ff-4f01-a4eb-969b3bad8e66,2,2025-03-15,lunch,Steamed Broccoli,Bates,Gluten-free option,55,3.7,11,0.6,2025-03-15 11:00:00
491e9562-e5f3-4593-88cc-d7a3c8a968c1,3,2025-03-15,snack,Grilled Chicken Breast,Stone-Davis,Loved it!,165,31.0,0,3.6,2025-03-15 20:00:00
a54b00fb-c44b-4b09-96f6-4e53df533ad4,3,2025-03-16,breakfast,Steamed Broccoli,Lulu,No dressing,55,3.7,11,0.6,2025-03-16 09:00:00
54664204-3fef-4abb-8ade-1df8a57e0ba5,1,2025-03-16,lunch,Apple,Leaky Beaker,Too salty,95,0.5,25,0.3,2025-03-16 14:00:00
36a0c431-8b93-4491-83a4-e7ce166854fd,1,2025-03-16,lunch,Steamed Broccoli,Leaky Beaker,Gluten-free option,55,3.7,11,0.6,2025-03-16 22:00:00
85a7aba8-a557-4cbd-814b-6c0db731acf6,1,2025-03-16,snack,Spaghetti Marinara,Stone-Davis,No dressing,310,10.0,50,7.0,2025-03-16 23:00:00
009885db-3794-4f77-982f-35c456e52b83,2,2025-03-17,lunch,Veggie Burger,Leaky Beaker,Extra spicy,124,11.0,10,5.0,2025-03-17 04:00:00
b539df49-25a5-490e-b22e-8b26d205af6b,3,2025-03-17,lunch,Greek Yogurt,Bates,Too salty,100,17.0,6,0.7,2025-03-17 06:00:00
2e42ada9-c71d-4de7-8ae5-9bffd95e0b60,1,2025-03-17,breakfast,Quinoa Salad,Tower,No dressing,222,8.0,39,6.0,2025-03-17 09:00:00
14c8efe2-202d-46f4-a120-a278326c07fe,1,2025-03-17,dinner,Brown Rice,Tower,Loved it!,216,5.0,45,1.8,2025-03-17 11:00:00
